,iata_code,latitude,longitude
543,BAS,-6.990556,155.885833
544,BAT,-20.584547,-48.594086
545,BAU,-22.345042,-49.0538
546,BAV,40.559999,109.996944
547,BAW,-0.867,9.283
548,BAX,53.363775,83.538533
549,BAY,47.658389,23.470022
550,BAZ,-0.981292,-62.919644
551,BBA,-45.916058,-71.689475
552,BBB,45.331917,-95.650583
553,BBC,28.97325,-95.863444
554,BBD,31.179278,-99.323917
555,BBE,-27.416666666667,117.66666666667
556,BBF,42.5,-71.183333333333
557,BBG,3.085833,172.811111
558,BBH,54.33754,12.699705
559,BBI,20.244364,85.817781
560,BBJ,49.945333,6.565
561,BBK,-17.832875,25.1624
562,BBL,36.65,52.667
563,BBM,13.095564,103.224408
564,BBN,3.736944,115.469444
565,BBO,10.389167,44.941106
566,BBP,50.677778,-1.109444
567,BBQ,17.635833,-61.826944
568,BBR,16.013333,-61.742222
569,BBS,51.323889,-0.8475
570,BBT,4.221583,15.786369
571,BBU,44.503194,26.102111
572,BBV,4.633,-6.917
573,BBW,41.436451,-99.642169
574,BBX,40.137556,-75.265139
575,BBY,5.846944,20.6475
576,BBZ,-13.537222,23.108333
577,BCA,20.365317,-74.506206
578,BCB,37.207639,-80.407833
579,BCC,63.571609,-156.144051
580,BCD,10.642511,122.929617
581,BCE,37.706444,-112.145806
582,BCF,6.517,18.267
583,BCG,7.7,-59.167
584,BCH,-8.485472,126.399333
585,BCI,-23.565278,145.306667
586,BCJ,37.966666666667,-105.76666666667
587,BCK,-17.3875,144.168889
588,BCL,10.767,-83.583
589,BCM,46.521944,26.910278
590,BCN,41.297078,2.078463
591,BCO,5.783,36.55
592,BCP,-5.867,146.483
593,BCQ,27.653,14.272
594,BCR,-8.834561,-67.312403
595,BCS,29.866039,-90.022293
596,BCT,26.3785,-80.107694
597,BCU,10.294444,9.816667
598,BCV,61.416083,-149.508306
599,BCW,-21.853056,35.438333
600,BCX,53.938056,58.34
601,BCY,6.217,36.667
602,BCZ,-13.781944,136.201944
603,BDA,32.364041,-64.678703
604,BDB,-24.903889,152.318611
605,BDC,-5.500269,-45.242222
606,BDD,-10.15,142.174167
607,BDE,48.728444,-94.612222
608,BDF,41.230871,-89.615652
609,BDG,37.583337,-109.483289
610,BDH,26.532,54.824847
611,BDI,-3.724722,55.205278
612,BDJ,-3.442356,114.762553
613,BDK,8.017222,-2.761944
614,BDL,41.938889,-72.683222
615,BDM,40.317972,27.977694
616,BDN,24.841519,68.838408
617,BDO,-6.900625,107.576294
618,BDP,26.570278,88.075833
619,BDQ,22.336164,73.226289
620,BDR,41.163472,-73.126167
621,BDS,40.657633,17.947033
622,BDT,4.253206,20.975283
623,BDU,69.055758,18.540356
624,BDV,-7.083889,29.738333
625,BDW,-17.2875,127.466944
626,BDX,45.433325,-105.417213
627,BDY,43.086472,-124.407861
628,BDZ,-6.333,146.933
629,BEA,-8.633,146.5
630,BEB,57.481111,-7.362778
631,BEC,37.694475,-97.214989
632,BED,42.469953,-71.28903
633,BEE,-17.016389,122.646111
634,BEF,11.990961,-83.774086
635,BEG,44.818444,20.309139
636,BEH,42.128583,-86.4285
637,BEI,9.386389,34.521944
638,BEJ,2.155497,117.432256
639,BEK,26.217,81.233
640,BEL,-1.37925,-48.476292
641,BEM,5.267,17.633
642,BEN,32.096786,20.269472
643,BEO,-33.066111,151.646389
644,BEP,15.162783,76.882775
645,BEQ,52.342611,0.772939
646,BER,52.517,13.4
647,BES,48.447222,-4.421667
648,BET,60.778557,-161.837177
649,BEU,-24.346111,139.460278
650,BEV,31.287003,34.722953
651,BEW,-19.796419,34.907556
652,BEX,51.616389,-1.095833
653,BEY,33.820931,35.488389
654,BEZ,-1.354722,176.006944
655,BFA,45.165842,-84.924114
656,BFB,58.183333333333,-152.13333333333
657,BFC,-15.873611,145.329722
658,BFD,41.803068,-78.640121
659,BFE,51.964833,8.544833
660,BFF,41.874028,-103.595639
661,BFG,37.545824,-110.713199
662,BFH,-25.405,-49.231944444444
663,BFI,47.53,-122.301972
664,BFJ,-17.55,177.667
665,BFK,36.863301,-99.618731
666,BFL,35.433861,-119.057667
667,BFM,30.626778,-88.068083
668,BFO,-21.008083,31.57855
669,BFP,40.772472,-80.391444
670,BFQ,7.583,-78.2
671,BFR,38.840028,-86.445361
672,BFS,54.6575,-6.215833
673,BFT,32.412166,-80.634354
674,BFU,32.8475,117.320278
675,BFV,15.229539,103.253231
676,BFW,47.249028,-91.415583
677,BFX,5.536919,10.354583
678,BGA,7.126944,-73.185
679,BGB,-0.1,11.95
680,BGC,41.8578,-6.707125
681,BGD,35.700894,-101.393663
682,BGE,30.971598,-84.636928
683,BGF,4.398475,18.518786
684,BGG,6.65,-4.2
685,BGH,16.633,-14.183
686,BGI,13.074603,-59.492456
687,BGJ,65.516389,-13.805
688,BGK,16.517,-88.4
689,BGL,28.212816,83.666328
690,BGM,42.208556,-75.979722
691,BGN,51.2,6.133
692,BGO,60.293386,5.218142
693,BGP,-2.2,10.233
694,BGQ,61.536122,-149.813897
695,BGR,44.807444,-68.828139
696,BGS,32.21444444,-101.52499999
697,BGT,34.595853,-113.170195
698,BGU,4.785,22.781
699,BGV,-29.167,-51.5
700,BGW,33.262538,44.234577
701,BGX,-31.390528,-54.112244
702,BGY,45.673889,9.704166
703,BGZ,41.587058,-8.445139
704,BHA,-0.608111,-80.402683
705,BHB,44.449769,-68.361565
706,BHC,31.713833,-82.393778
707,BHD,54.618056,-5.8725
708,BHE,-41.518333,173.870278
709,BHF,6.55,-77.333
710,BHG,15.735,-84.5425
711,BHH,19.98435,42.620881
712,BHI,-38.724967,-62.169317
713,BHJ,23.287828,69.670147
714,BHK,39.775,64.483333
715,BHL,28.978611,-113.560833
716,BHM,33.563889,-86.752306
717,BHN,14.781972,45.720083
718,BHO,23.287467,77.337375
719,BHP,27.14743,87.050819
720,BHQ,-32.001389,141.471667
721,BHR,27.678056,84.429444
722,BHS,-33.409444,149.651944
723,BHT,-23.363333,141.562778
724,BHU,21.752206,72.185181
725,BHV,29.3481,71.717981
726,BHW,32.083611111111,72.671111111111
727,BHX,52.453856,-1.748028
728,BHY,21.539444,109.293889
729,BIA,42.55,9.484722
730,BIB,3.101667,43.626944
731,BIC,57.666666666667,-157.58333333333
732,BID,41.168111,-71.577833
733,BIE,40.301278,-96.754111
734,BIF,31.849525,-106.380039
735,BIG,63.99516,-145.720025
736,BIH,37.373111,-118.363611
737,BII,11.5225,165.565
738,BIJ,-5.583,146.333
739,BIK,-1.190017,136.107997
740,BIL,45.807667,-108.542889
741,BIM,25.699881,-79.264656
742,BIN,34.808622,67.818233
743,BIO,43.301097,-2.910608
744,BIP,-16.883056,143.481389
745,BIQ,43.468333,-1.531111
746,BIR,26.484167,87.264444
747,BIS,46.772722,-100.74575
748,BIT,29.465263,80.549156
749,BIU,65.641389,-23.546111
750,BIV,6.527778,21.989444
751,BIW,-19.564722,127.671944
752,BIX,30.410425,-88.924433
753,BIY,-32.89715,27.279111
754,BIZ,-5.283,142.017
755,BJA,36.711944,5.069444
756,BJB,37.492958,57.308219
757,BJC,39.908806,-105.117194
758,BJD,66.021944,-14.824444
759,BJF,70.600278,29.6925
760,BJG,0.933,124.167
761,BJH,29.53896,81.185364
762,BJI,47.510722,-94.934722
763,BJJ,40.874833,-81.88825
